ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
27,,;匣子;,匣仔,ah8-a2,,1108,Na,,
130,,;愛哭;,愛哮,ai3-hau2,,1515,,,
184,,;唉呀;喔唷;,唉呀,ai-iah,,728,I,,
195,,;哀慟;,哀慟,ai-tong7,,389,VH,,
203,,;局促;局促不安;狹窄;惱人;焦躁;煩悶;煩燥;鬱悶;,偓促,ak-chak,,2688,VH,,
205,ak-chak-he2,;無名火;無明火;,偓促火,ak-chak-hoe2,,1418,Na,,
206,,;悶熱;溽暑;燠熱;,偓促熱,ak-chak-joah8,,685,Na;VH,,
350,,;夕潮;晚潮;,暗淀,am3-tiN7,,579,,,
374,,;結核性淋巴腺炎;,頷厤,am7-lat8,,484,,,
386,,;奄奄一息;,奄奄一息,am-am-it-sek,,3841,VH,,
395,,;痴呆;,闇憨,am-kham2,,490,,,
410,,;椿象;,腌蜚,am-pui7,,204,,,
415,,;氨;,氨,an,,294,Na,,
564,,;赤胸;,紅,ang5-bu5,,616,,,
583,,;香椿;,紅椿樹,ang5-chhun-chhiu7,,1013,Na,,
595,,;松鯛;紫紅笛鯛;銀紋笛鯛;,紅鰽,ang5-cho5,,783,,,
596,ang5-cho5-hu5,;紅鰽魚;,紅鰽魚,ang5-cho5-hi5,,1050,,,
608,,;白裡透紅;紅潤;,紅霓,ang5-ge5,,1027,VH,,
618,,;赤土魟;,紅魟,ang5-hang,,578,,,
640,,;鮮紅;,紅艷,ang5-iam7,,641,VH,,
641,ang5-iam7-chhiN-chhui3,;奼紫嫣紅;,紅艷青翠,ang5-iam7-chheN-chhui3,,1290,VH,,
653,,;紅樹;,紅茄朾,ang5-ka-tiaN,,1485,Na,,
656,,;台灣木欑;,紅校欑,ang5-kau2-chan,,1280,,,
657,,;紅蟻;,紅蚼蟻,ang5-kau2-hia7,,869,,,
658,,;台灣柯;,紅校欑,ang5-kau3-chan,,1374,,,
668,,;赤足鷸;,紅腳鷸,ang5-kha-ut8,,1230,,,
680,ang5-koe5-hu5,;紅帶參;,紅鮭魚,ang5-koe5-hi5,,1648,,,
691,,;胡蘿蔔;,紅蘿蔔,ang5-la5-pak8,,778,Na,,
696,,;日本擬隆頭魚;竹葉鸚鯛;隆頭魚;,紅礫仔,ang5-lek8-a2,,2135,,,
701,,;水蓼;,紅蓼,ang5-liok8,,849,,,
702,,;赤翡翠;,紅鴗,ang5-lip8,,536,,,
729,,;蓖麻;,紅蓖麻,ang5-pi-moa5,,735,,,
775,,;蓖麻;,紅杜蓖,ang5-tou7-pi,,720,,,
806,,;安徽;,安徽,An-hui,,584,Nc,,
818,an-jian5-bo5-iong7,;安然無恙;,安然無恙,an-jian5-bo5-iang7,,2981,VH,,
894,a-tou-li5,;阿闍梨;,阿闍梨,a-sia5-le5,,1476,,,
899,,;閼;,閼,at,,118,b,,
938,au2-oe5-tiN,;趿拉;,拗鞋靪,au2-e5-tiN,,1005,VC,,
958,,;折貼邊;,拗紨,au2-pou5,,515,,,
978,,;鳶魟;,漚魟,au3-hang,,207,,,
1016,,;燠熱;,燠鬱熱,au3-ut-joah8,,555,VH,,
1018,,;吆喝;嚎;,嚎,au5,,349,VC;VE,,
1020,,;窩憋;懊惱;,嚎糟,au5-chau,,308,VH,,
1023,,;叫喊;叫喚;吼叫;喊叫;,嚎叫,au5-kio3,,1055,VA;VC;VE,,
1024,au5-kuiN2-tiN7,;噎滿喉嚨;,喉管淀,au5-kng2-tiN7,,618,,,
1027,,;哽咽;唏噓;噎滿喉嚨;,喉淀,au5-tiN7,,465,VE;VH,,
1129,,;後跟;,後靪,au7-tiN,,1480,,,
1194,,;吻合;貼切;,峇嗖嗖,ba7-sngh-sngh,,511,VH,,
1229,bah-ke5,;肉醬;,肉鮭,bah-koe5,,637,Na,,
1253,,;臭肉;,肉,bah-un,,601,,,
1286,,;商標;,嚜碼,bak8-be2,,440,Na,,
1289,,;烏賊;,墨賊槧,bak8-chat8-chhiam2,,529,Na,,
1338,,;上眼皮;眼皮;眼泡;眼瞼;瞼腺炎;,目睅,bak8-ham,,1277,Na,,
1355,,;眼睛容不下一粒砂子;,目孔阨,bak8-khang2-eh8,,3685,,,
1358,,;眼皮子淺;心胸狹窄;,目空阨,bak8-khang-eh8,,1636,,,
1378,bok8-lo5,;無患子;,目欏,bak8-lo5,,3524,,,
1405,,;雙眼皮;,目紃,bak8-sun5,,794,Na,,
1418,,;眼窩;,目洿,bak8-u,,781,Na,,
1431,,;拔牙齒;,挽嘴齒,ban2-chhui3-khi2,,1071,,,
1435,,;發育;,挽脛,ban2-keN3,,274,VH,,
1512,,;萬巒;,萬巒,Ban7-loan5,,379,Na,,
1578,,;萬華;,艋舺,bang2-kah,,1184,Nc,,
1603,,;吊床;,網,bang7-hiat,,372,Na,,
1624,,;芒萁骨;,芒萁,bang-ki,,442,,,
1638,,;口風緊;封口;嘴穩;嘴嚴;,密嘴,bat8-chhui3,,1198,VA;Nc,,
1639,,;密不通風;密密匝匝;,密啁啁,bat8-chiuh-chiuh,,1628,,,
1655,bau2-chhiN,;昴星;,昴星,bau2-chheN,,417,,,
1707,,;馬伕;,馬伕,be2-hu,,1546,,,
1712,,;馬勒;馬轡;銜勒;韁繩;,馬咬韁,be2-ka7-kiuN,,2159,Na,,
1713,,;台灣馬加鰆;土托魚;,馬鮫鰆,be2-ka-chhun,,3193,,,
1731,,;馬鈴;,馬瓏,be2-long,,1742,,,
1753,be2-tah8-theng3,;馬鐙;,馬踏鐙,be2-tah8-teng3,,1847,,,
1762,,;馬鐙;,馬鐙,be2-teng3,,1579,,,
1768,,;馬廄;馬號;馬房;馬舍;,馬椆,be2-tiau5,,1843,Nc;Na,,
1803,boe7-chhui3-chui2,;耍嘴皮;,賣嘴水,be7-chhui3-chui2,,2129,VA,,
1919,leng5-cheng,;銘旌;,銘旌,beng5-cheng,,855,Na,,
1940,,;平和曬煙;,平和曬熏,Beng5-ho5-sai3-hun,,3119,,,
1951,,;萌起;,萌起,beng5-khi2,,735,VJ,,
1957,,;一字一板;,明句逗,beng5-ku3-tau7,,1956,,,
1962,,;螟蛉;,螟蛉,beng5-leng5,,469,Na,,
1963,,;義子;螟蛉子;,螟蛉子,beng5-leng5-chu2,,1098,Na,,
1983,,;萌生;,萌生,beng5-seng,,1021,VJ,,
2013,,;鎂;,鎂,bi2,,205,Na,,
2081,,;美輪美奐;,美輪美奐,bi2-lun5-bi2-hoan3,,1019,VH,,
2116,,;偷看;窺伺;,瞇,bi5,,973,VC,,
2117,,;黴;,黴,bi5,,175,Na,,
2128,,;麋鹿;,麋鹿,bi5-lok8,,904,Na,,
2157,,;小槐花;,味噌草,bi7-soh-chhau2,,989,,,
2166,,;鬥雞眼;,眄目,bian2-bak8,,724,Na,,
2174,,;緬懷;,緬懷,bian2-hoai5,,206,VJ,,
2187,,;冠冕;冕旒;,冕旒,bian2-liu5,,191,Na,,
2194,,;緬甸;,緬甸,Bian2-tian2,,185,Nc,,
2195,,;緬甸;,緬甸,bian2-tian7,,192,Nc,,
