ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
495,aN5-choe3,;堅持自己做;,aN5做,aN5-cho3,,2598,,,
496,,;吃緊;拮据;錢根子緊;,an5空,an5-khang,,1494,VH,,
497,,;偏袒;,攔歸peng5,aN5-kui-peng5,,679,VJ,,
498,,;逼迫;,an5逼逼,an5-pek-pek,,431,VF,,
499,,;拮据;,an5燥,an5-so3,,241,VH,,
500,,;耐久;,an5-tauh-tauh,an5-tauh-tauh,,387,VH,,
501,,;緊巴巴;緊綁綁;緊繃繃;,an5丟丟,an5-tiu-tiu,,542,,,
502,,;緊緊的;緊綁綁;很緊;,an5-tong3-tong3,an5-tong3-tong3,,3076,,,
503,,;緊綁綁;,an5-tu-tu,an5-tu-tu,,564,,,
686,,;野鴝;,紅kui仔,ang5-kui-a2,,1408,,,
835,,;我的媽呀;,俺娘oeh,an-nia5-oeh,,3751,,,
867,,;公寓;,a-pha2-to3,a-pha2-to3,,818,Na,,
882,,;牽牛花;,a-sa2-ga2-ouh,a-sa2-ga2-ouh,,1134,Na,,
883,,;乾脆;,a-sa2-li3,a-sa2-li3,,891,VH,,
901,,;喝稀飯湯;,閼am2,at-am2,,598,,,
904,,;分紅;,at米糕,at-bi2-ko,,912,VB,,
905,,;抑制;,at制,at-che3,,268,VC,,
906,,;偷斤兩;,at秤頭,at-chhin3-thau5,,1237,,,
908,at-chhiu2-be2,;比腕力;比手力;,at手尾,at-chhiu2-boe2,,1612,,,
909,,;比手力;比腕力;,at手霸,at-chhiu2-pa3,,986,,,
910,,;制止;,at止,at-chi2,,390,VC,,
911,,;攀折;,at折,at-chih8,,422,VC,,
912,,;遏阻;,at阻,at-chou2,,214,VC,,
915,,;擱置;,at下,at-he7,,750,VC,,
917,,;殺價;,at價數,at-ke3-siau3,,717,VA,,
918,,;折彎;,at曲,at-khiau,,334,VR,,
919,,;把脈;,at脈,at-meh8,,843,,,
920,,;折彎;,at彎,at-oan,,287,VR,,
923,,;偷雞摸狗;,at王梨,at-ong5-lai5,,924,VA,,
924,,;遏仔;壓條;,at條,at-tiau5,,759,VA,,
925,,;折斷;,at斷,at-tng7,,520,VR,,
965,,;腐爛的;,au3,au3,,1570,,,
968,,;腐肉;,au3肉,au3-bah,,527,Na,,
972,,;惡劣;腐敗;腐臭;,au3臭,au3-chhau3,,480,VH,,
974,,;娼婦;,au3娼,au3-chhiong,,224,Na,,
976,,;拆爛污;,au3棗,au3-cho2,,389,,,
981,,;悶;悶熱;燠熱;,au3翕,au3-hip,,391,VH,,
982,,;腐爛不堪;,au3-hiu2-hiu2,au3-hiu2-hiu2,,1323,,,
983,au3-he3,;爛貨;,au3貨,au3-hoe3,,439,Na,,
984,,;劣風氣;臭風;臭味;腐氣;酸腐;,au3風,au3-hong,,1449,Na;VH,,
985,,;不好相與;,au3腳,au3-kha,,2888,,,
986,,;彆腳貨;,au3腳數,au3-kha-siau3,,1166,,,
987,,;惡客;,au3客,au3-kheh,,524,Na,,
988,,;無能;壞蛋;,au3腳,au3-kioh,,1346,Na;VH,,
989,,;下三濫;彆腳貨;膿包;爛貨;,au3腳數,au3-kioh-siau3,,1601,Na,,
990,,;拙劣;差勁;陳舊;蹩腳;爛;,au3古,au3-kou2,,1003,VH,,
991,,;破車子;,au3古車,au3-kou2-chhia,,1103,,,
992,,;灰綠;,au3綠,au3-lek8,,575,,,
993,,;腐爛;,au3漉,au3-lok,,329,VH,,
994,,;臭味;腐臭;,au3膿,au3-long5,,476,Na;VH,,
995,,;臭烘烘;,au3膿膿,au3-long5-long5,,452,,,
996,,;臭名;穢聞;惡名;,au3名,au3-mia5,,772,Na,,
1000,,;土黃;蒼黃;,au3黃,au3-ng5,,844,,,
1002,,;灰不溜丟;,au3-phu2,au3-phu2,,1719,,,
1006,,;低劣;臭;,au3屎,au3-sai2,,525,VH,,
1007,,;臭臉;,au3屎面,au3-sai2-bin7,,857,,,
1009,,;悶聲;,au3聲,au3-siaN,,700,,,
1013,,;賭氣;懊喪;繃著臉;,au3-tu7-tu7,au3-tu7-tu7,,909,VH,,
1112,,;繼室;後妻;後室;填房;,後siu7,au7-siu7,,939,Na,,
1149,,;奶油;,ba2-tah,ba2-tah,,383,Na,,
1183,,;找;物色;剛好;密;密合;覓;緊;親密;,ba7,ba7,,2100,VD;VC;Da;VH,,
1188,,;淘換;搜找;,ba7-chhe7,ba7-chhe7,,751,,,
1190,,;老鷹;鳶;黑鳶;,ba7-hioh8,ba7-hioh8,,1088,Na,,
1193,,;合適;吻合;,ba7-sa3,ba7-sa3,,401,VH,,
1195,,;投合;貼切;嚴密;,ba7搭,ba7-tah,,747,VH,,
1196,,;融洽;,ba7搭sa3,ba7-tah-sa3,,467,VH,,
1197,,;對勁;融洽;親密;,ba7斗,ba7-tau2,,1204,VH,,
1198,,;密切;,ba7鬥,ba7-tau3,,568,VH,,
1254,,;醜;,bai2,bai2,,523,VH,,
1257,,;左手;,bai2手,bai2-chhiu2,,974,Na,,
1258,,;左撇子;,bai2手仔,bai2-chhiu2-a2,,1604,Na,,
1275,,;沾;沾手;沾污;染;毣;,bak,bak,,483,VC;VJ;VH,,
1304,,;轉眼;,目一nih仔,bak8-chit8-nih-a2,,4386,Dd,,
1307,,;瞇瞇眼;,目睭bui-bui,bak8-chiu bui-bui,,978,,,
1314,,;眼跳;,目睭chhoah,bak8-chiu-chhoah,,1180,,,
1316,,;眼離;,目睭ge5,bak8-chiu-ge5,,1050,,,
1334,,;戲水;,bak8水,bak8-chui2,,1034,VA,,
1361,,;後照鏡;,bak8-khu2物仔,bak8-khu2-mih-a2,back mirror,1508,,,
1381,,;眼看;,目nih,bak8-nih,,1583,VE,,
1382,,;剎那;,目nih仔,bak8-nih-a2,,2136,Na,,
1383,,;霎時間;,目nih仔久,bak8-nih-a2-ku2,,2228,Dd,,
1384,,;一瞬;短暫;,目nih久,bak8-nih-ku2,,2163,VH,,
1396,,;假寐;,目sa是,bak8-sa-si7,,2505,VA,,
1415,,;眼界高;,目頭koan5,bak8-thau5-koan5,,1698,,,
1416,,;突眼;,目吐lui5,bak8-thou2-lui5,,757,,,
1419,,;沾手;插手;經手;,bak手,bak-chhiu2,,831,VC;VH,,
1420,,;沾水;,bak水,bak-chui2,,1118,VA,,
1421,,;後退;倒退;背景;,bak-khu3,bak-khu3,back,844,VD;VA;Na,,
1422,,;玷污;黵;,bak流瘍,bak-lau5-siong5,,624,VC,,
1423,,;染指;,bak濁,bak-tak,,400,VC,,
1424,,;沾上;沾到;沾染;染上;涉入;涉及;,bak著,bak-tioh8,,2913,VR;VC;VJ,,
1425,,;沾上;沾到;沾染;碰到;,bak著,bak--tioh8,,2926,VR;VC,,
1430,,;抽搐;,挽chhoah,ban2-chhoah,,425,VH,,
1449,,;翻車魚;曼波;,ban3-boh,ban3-boh,,741,,,
1459,,;果肉一瓣;,ban7,ban7,,1413,,,
1467,,;蠕蠕;,慢慢仔so5,ban7-ban7-a2-so5,,1215,,,
1469,,;摳搜;,慢慢so5,ban7-ban7-so5,,509,,,
1534,,;慢吞吞;慢騰騰;,慢死so5,ban7-si2-so5,,929,VH,,
1541,,;慢吞吞;遲緩;慢騰騰;,慢so5-so5,ban7-so5-so5,,604,VH,,
1563,,;網;,bang,bang,,313,Na;VC,,
1564,,;勾當;搞鬼;,bang2,bang2,,580,VA;Na,,
1579,,;拂塵;,蚊sak仔,bang2-sak-a2,,1058,Na;VB,,
1585,,;別;,bang3,bang3,,409,Db;Ne,,
1631,pat,;一度;知道;曾;曾經;認得;認識;懂;,bat,bat,,3615,VR;Dd;VK;Nf;Nb;VJ,,
1632,pat tai7-chi3,;解事;懂事;,bat代誌,bat tai7-chi3,,1418,VH,,
1642,pat-bo5-kau3,;所知有限;,bat無夠,bat-bo5-kau3,,3890,,,
1643,pat-bo5-thau3,;所知有限;,bat無透,bat-bo5-thau3,,3716,,,
1644,pat-chin3-thoe3,;知所進退;,bat進退,bat-chin3-the3,,1115,,,
1645,pat-he3,;識貨;,bat貨,bat-hoe3,,561,VH,,
1646,pat-ji7,;識字;,bat字,bat-ji7,,791,VA,,
1647,pat-lang5,;識人;,bat人,bat-lang5,,2856,,,
1648,pat-phang-chhau3,;識相;識趣;,bat芳臭,bat-phang-chhau3,,784,VH,,
1649,pat-po2,;識貨;,bat寶,bat-po2,,495,VH,,
1650,pat-siuN7,;懂事;,bat想,bat-siuN7,,1333,VH,,
1651,pat-su7,;懂事;,bat事,bat-su7,,1088,VH,,
