出處,華語,漢字,臺羅,
臺灣閩南語常用詞辭典,休憩,khiű-khé,khiű-khé,
臺灣閩南語常用詞辭典,休息,khiű-khé,khiű-khé,
臺灣閩南語常用詞辭典,杯子,khok-puh,khok-puh,
臺灣閩南語常用詞辭典,混凝土,khōng-ku-lí,khōng-ku-lí,
臺灣閩南語常用詞辭典,控固力,khōng-ku-lí,khōng-ku-lí,
臺灣閩南語常用詞辭典,海帶,khòng-buh,khòng-buh,
臺灣閩南語常用詞辭典,昆布,khòng-buh,khòng-buh,
臺灣閩南語常用詞辭典,霍亂,khoo-lé-lah,khoo-lé-lah,
臺灣閩南語常用詞辭典,賄賂,khoo-mí-sióng,khoo-mí-sióng,
臺灣閩南語常用詞辭典,回扣,khoo-mí-sióng,khoo-mí-sióng,
臺灣閩南語常用詞辭典,大衣,khòo-tòo,khòo-tòo,
臺灣閩南語常用詞辭典,變速器,khu-lá-tsih,khu-lá-tsih,
臺灣閩南語常用詞辭典,離合器,khu-lá-tsih,khu-lá-tsih,
臺灣閩南語常用詞辭典,面霜,khu-lì-mù,khu-lì-mù,
臺灣閩南語常用詞辭典,克林姆,khu-lì-mù,khu-lì-mù,
臺灣閩南語常用詞辭典,奶油,khu-lì-mù,khu-lì-mù,
臺灣閩南語常用詞辭典,收音機,la-jí-ooh,la-jí-ooh,
臺灣閩南語常用詞辭典,球拍,la-kiat-tooh,la-kiat-tooh,
臺灣閩南語常用詞辭典,彈珠汽水,la-mú-neh,la-mú-neh,
臺灣閩南語常用詞辭典,沒問題,la̋i-jiòo-bù,la̋i-jiòo-bù,
臺灣閩南語常用詞辭典,安全,la̋i-jiòo-bù,la̋i-jiòo-bù,
臺灣閩南語常用詞辭典,放心,la̋i-jiòo-bù,la̋i-jiòo-bù,
臺灣閩南語常用詞辭典,無袖背心,la̋i-lín-gù,la̋i-lín-gù,
臺灣閩南語常用詞辭典,打火機,lài-tah,lài-tah,
臺灣閩南語常用詞辭典,檸檬,le-bóng,le-bóng,
臺灣閩南語常用詞辭典,蕾絲花邊,lè-sìr,lè-sìr,
臺灣閩南語常用詞辭典,臺車,li-á-khah,li-á-khah,
臺灣閩南語常用詞辭典,拖車,li-á-khah,li-á-khah,(自行車後面的兩輪拖車)
臺灣閩南語常用詞辭典,台車,li-á-khah,li-á-khah,
臺灣閩南語常用詞辭典,煤球,lia̋n-táng,lia̋n-táng,
臺灣閩南語常用詞辭典,紅蘿蔔,li̋n-jín,li̋n-jín,
臺灣閩南語常用詞辭典,蘋果,lìn-gòo,lìn-gòo,
臺灣閩南語常用詞辭典,螺絲起子,loo-lái-bà,loo-lái-bà,
臺灣閩南語常用詞辭典,里脊肉,lòo-suh,lòo-suh,
臺灣閩南語常用詞辭典,橡膠拖鞋,lóo-lí-á,lóo-lí-á,
臺灣閩南語常用詞辭典,瘧疾,ma-lá-lí-á,ma-lá-lí-á,
臺灣閩南語常用詞辭典,馬拉松,ma-lá-sóng,ma-lá-sóng,
臺灣閩南語常用詞辭典,馬殺雞,ma-sà-tsì,ma-sà-tsì,
臺灣閩南語常用詞辭典,按摩,ma-sà-tsì,ma-sà-tsì,
臺灣閩南語常用詞辭典,色情按摩,ma-sà-tsì,ma-sà-tsì,
臺灣閩南語常用詞辭典,麥克風,mái-kù,mái-kù,
臺灣閩南語常用詞辭典,三夾板,me-lí-á,me-lí-á,
臺灣閩南語常用詞辭典,香瓜,me-lóng,me-lóng,
臺灣閩南語常用詞辭典,名片,mè-sì,mè-sì,
臺灣閩南語常用詞辭典,裁縫車,mi-sín,mi-sín,
