跨境電商,迒境電商,hānn-kíng-tiān-siong,,
跨境電商,過境電商,kuè-kíng-tiān-siong,,
法人,法人,huat-jîn,,
標準差,標準差,piau-tsún-tsha,,
標準差,標準偏差,piau-tsún-phian-tsha,,
直效行銷,直接行銷,ti̍t-tsiap hîng-siau,,
躉繳,總納,tsóng-la̍p,,
躉繳,躉納,tún-la̍p,,
連續競價,連紲比價,liân-suà-pí-kè,,
去槓桿化,清撬仔數,tshing-kiāu-á-siàu,,
去槓桿化,抽數撬仔,thiu-siàu-kiāu-á,,
槓桿交易,撬仔買賣,kiāu-á-bé-bē,,
停滯性通貨膨脹,死水通貨冗剩,sí-tsuí thong-huè liōng-siōng,,
滯脹,死膨,sí-phòng,,
二級市場,二級市場,jī-kip-tshī-tiûnn,,
次級市場,次級市場,tshù-kip-tshī-tiûnn,,
集中市場,集中市場,tsi̍p-tiong-tshī-tiûnn,,
現貨市場,便貨市場,piān-huè tshī-tiûnn,,
影子銀行,烏影銀行,oo-iánn-gîn-hâng,,
影子銀行,影銀行,iánn-gîn-hâng,,
鍋爐室騙局,火鼎間騙局,hué-tiánn-king phiàn-kio̍k,,
綠皮書,綠皮書,li̍k-phuê-su,,
授信,授信,siū-sìn,,
回檔,回檔,huê-tóng,,
回檔,修正,siu-tsìng,,
盤整,盤整,puânn-tsíng,,
盤整,整匯,tsíng-huē,,
空殼公司,空殼公司,khang-khak-kong-si,,
借殼上市,借殼上市,tsioh-khak tsiūnn-tshī,,
公債,公債,kong-tsè,,
衍生性金融商品,湠生性金融商品,thuànn-sing-sìng kim-iông-siong-phín,,
衍生性金融商品,派生性金融商品,phài-sing-sìng kim-iông-siong-phín,,
指數型基金,指數型基金,tsí-sòo-hîng ki-kim,,
權證,認股證,jīn-kóo-tsìng,,
權證,權證,khuân-tsìng,,
選擇權,選擇權,suán-ti̍k-khuân,,
次級房貸,二路厝貸,jī-lōo-tshù-tāi,,
保本基金,保本基金,pó-pún ki-kim,,
交叉持股,相份股,sio-hūn-kóo,,
複利,複利,ho̍k-lī,,
毛利率,毛利率,môo-lī-lu̍t,,
殖利率,殖利率,si̍t-lī-lu̍t,,
殖利率,現金股利率,hiān-kim kóo-lī-lu̍t,,
投資報酬率,投資回報率,tâu-tsu huê-pò-lu̍t,,
折現率,轉現率,tńg-hiān-lu̍t,,
折現率,轉現金率,tńg-hiān-kim-lu̍t,,
